,Performance Inputs,,,Units,Active,User Override,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biogas - Distributed,,3.0,2013.0,,CAISO_CCGT1,Gas - CCGT
,Levelized Fixed Cost,,Capital,$/kW-yr,965.6499363502636,,,965.6499363502636,610.1117725245098,580.9680525392018,453.5417859467978,501.7205439360281,558.818606115709,762.8033590956926,217.38007938918287,258.2005056625843,288.02634875039956,197.59469163572606,183.49565210878453,167.77067542872226,161.96566482769995,190.9806433801369,178.53631015989842,166.1177623703112,161.13930939490558,167.53359696302658,205.57078099946233,17.287543997414062,53.55748925753072,188.4007724313658,25.99174536321881,97.07383437058635,9.707383437058636,161.46230009961693,117.99168084202775,155.25221163424706,155.25221163424706,,,,,,,,,,,,,,
,(by component),,Interconnection,$/kW-yr,0.0,,,0.0,0.0,19.720965659369266,23.245920097411425,20.805038376682177,7.418717120631207,7.41998361196671,16.53709238411433,16.542934053162654,16.544857047382184,16.53512063897289,16.531139829620223,16.52913058411057,16.52710865588775,16.53512063897289,16.531139829620223,16.52913058411057,16.52710865588775,11.182619473033215,16.252515403773604,0.0,0.0,0.0,0.0,0.0,0.0,12.420176930739764,12.420176930739762,12.420176930739762,12.420176930739762,,,,,,,,,,,,,,
,,,Property Tax & Insurance,$/kW-yr,72.08640308154358,,,72.08640308154358,38.698681253810655,36.7717953468992,30.266186674302073,29.106406903956504,36.91143154284853,50.360335016049,15.980076505304355,18.95365698267303,21.13303860656717,14.532611134369752,13.508745865324022,12.357110210191845,11.935379410719117,14.046163899746494,13.143644625720675,12.235365282012618,11.874484617807287,12.581355054982934,16.053240157483717,1.6527405741084413,5.120255112961022,16.32786306330221,2.252589804118035,9.30603798165111,0.9306037981651114,9.366942341008484,6.845073249198508,9.00667532789277,9.00667532789277,,,,,,,,,,,,,,
,,,ITC,$/kW-yr,0.0,,,0.0,0.0,0.0,0.0,0.0,-245.99760678090126,-335.43281176559594,-96.88677648107866,-114.69203554891898,-127.79743755982095,-88.1683838912169,-82.06426654559883,-75.11769404115086,-72.60202415914232,-85.21714091577869,-79.84631339571777,-74.37761823778975,-72.23160566853444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,,Fixed O&M,$/kW-yr,442.0000000000001,,,442.0000000000001,523.0000000000001,185.65656199999992,200.00000000000006,30.602729999999994,67.32000000000002,67.32000000000001,31.899999999999988,32.64291199999996,32.642911999999974,29.00000000000002,26.000000000000004,22.99999999999999,22.000000000000025,34.00000000000003,30.0,27.999999999999996,26.000000000000025,32.79999999999997,32.10000000000003,2.2937717220000002,7.106194747999998,59.123943524999994,8.156731339999997,23.519999999999982,0.0,10.0,6.0,12.0,12.0,,,,,,,,,,,,,,
,,,Periodic Replacement,$/kW-yr,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.738500867141944,33.26829681069612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,,PTC,$/kW-yr,-124.3149763033768,,,-124.3149763033768,-211.34063847067623,-210.86576294732345,-194.67802384453728,-58.980549868379875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.77376715381925,-64.70213913107725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,,Total,$/kW-yr,1355.4213631284304,,,1355.4213631284304,960.4698153076444,612.2516125981468,512.3758688739741,523.254169348287,424.4711479982875,552.4708659581124,184.91047179752286,211.64797314950096,230.549718844528,169.49403951785183,157.47127125812995,144.5392221818738,139.82612873516453,170.34478700307764,158.36478121952155,148.50463999864462,143.3092970000662,157.32380433722344,205.27439742964245,31.972557160664447,99.05223592918784,263.852579019668,36.40106650733684,129.89987235223745,10.637987235223747,193.24941937136518,143.25693102196604,188.67906389287958,188.67906389287958,,,,,,,,,,,,,,
,Project Finance Details,,Equity Share,%,0.2,,,0.2,0.39,0.394,0.499,0.2,0.5189999999999999,0.5199999999999999,0.5249999999999999,0.5279999999999999,0.5289999999999999,0.5239999999999999,0.5219999999999999,0.5209999999999999,0.5199999999999999,0.5239999999999999,0.5219999999999999,0.5209999999999999,0.5199999999999999,0.484,0.42299999999999993,0.2,0.2,0.243,0.243,0.25,0.25,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,
,,,Debt Share,%,0.8,,,0.8,0.61,0.606,0.501,0.8,0.4810000000000001,0.4800000000000001,0.4750000000000001,0.4720000000000001,0.4710000000000001,0.4760000000000001,0.4780000000000001,0.4790000000000001,0.4800000000000001,0.4760000000000001,0.4780000000000001,0.4790000000000001,0.4800000000000001,0.516,0.5770000000000001,0.8,0.8,0.757,0.757,0.75,0.75,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,
